Catalog ID	Source Origins	Notes
hairbrush-spanking	punishment|Creative Pain 100|6;punishment|Pain Batch 2|5	Exact label/alias match; use catalog primitive identity at runtime.
hands-behind-back-posture	punishment|Creative Pain 100|66	Exact label/alias match; use catalog primitive identity at runtime.
plank-hold	punishment|Creative Pain 100|46;punishment|Pain Batch 2|17	Exact label/alias match; use catalog primitive identity at runtime.
wall-sit	punishment|Creative Pain 100|42;punishment|Creative Punishments|2	Exact label/alias match; use catalog primitive identity at runtime.
